win_probability,pot_odds,street,stack_to_pot,opponent_bet_ratio,players_left,action,won_hand
0.28,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.58,0.25,0,66.33333333333333,0.3333333333333333,2,call,True
0.48,0.0,0,49.5,0.0,2,call,False
0.88,0.0,1,49.5,0.0,2,raise,True
0.4,0.4900990099009901,1,1.9223300970873787,0.9611650485436893,2,fold,False
0.2,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.44,0.25,0,66.33333333333333,0.3333333333333333,2,call,False
0.56,0.0,0,49.5,0.0,2,call,True
0.28,0.0,1,49.5,0.0,2,call,False
0.66,0.0,1,49.5,0.0,2,raise,True
0.2,0.3333333333333333,1,24.75,0.5,2,fold,False
0.44,0.4,0,66.66666666666667,0.6666666666666666,3,call,True
0.36,0.16666666666666666,0,39.8,0.2,3,call,False
0.38,0.0,0,33.0,0.0,3,call,False
0.34,0.0,1,33.0,0.0,3,call,False
0.4,0.0,1,33.0,0.0,3,call,False
0.72,0.0,1,33.0,0.0,3,raise,True
0.38,0.2857142857142857,1,19.8,0.4,3,call,False
0.48,0.2222222222222222,1,14.142857142857142,0.2857142857142857,3,call,False
0.2,0.0,2,10.777777777777779,0.0,3,call,False
0.74,0.0,2,10.777777777777779,0.0,3,raise,False
0.62,0.15384615384615385,2,8.818181818181818,0.18181818181818182,3,call,True
0.18,0.13333333333333333,2,7.461538461538462,0.15384615384615385,3,call,False
0.12,0.0,3,6.333333333333333,0.0,3,call,False
0.48,0.0,3,6.333333333333333,0.0,3,call,False
0.96,0.0,3,6.333333333333333,0.0,3,raise,True
0.16,0.4318181818181818,3,1.52,0.76,3,fold,False
0.68,0.4318181818181818,3,1.52,0.76,2,raise,False
0.98,0.18097447795823665,3,0.33640226628895187,0.22096317280453256,2,raise,True
0.72,0.07951219512195122,3,0.08638049814520403,0.08638049814520403,2,raise,False
0.46,0.4,0,66.66666666666667,0.6666666666666666,3,call,True
0.26,0.16666666666666666,0,39.8,0.2,3,call,False
0.34,0.0,0,33.0,0.0,3,call,False
0.18,0.0,1,33.0,0.0,3,call,False
0.54,0.0,1,33.0,0.0,3,call,False
0.8,0.0,1,33.0,0.0,3,raise,True
0.28,0.25,1,22.0,0.3333333333333333,3,call,False
0.58,0.2,1,16.5,0.25,3,call,False
0.56,0.0,2,13.0,0.0,3,call,False
0.8,0.0,2,13.0,0.0,3,raise,False
1.0,0.2483221476510067,2,8.705357142857142,0.33035714285714285,3,raise,True
0.62,0.4517241379310345,2,1.5330188679245282,0.8238993710691824,3,call,False
0.84,0.2956891317547055,2,0.8086206896551724,0.41982758620689653,3,raise,False
1.0,0.17693213024715576,2,0.2149666348903718,0.2149666348903718,3,raise,True
0.62,0.15033333333333335,2,0.17693213024715576,0.17693213024715576,3,call,False
0.56,0.0,3,0.0,0.0,3,call,False
0.94,0.0,3,0.0,0.0,3,raise,False
1.0,0.0,3,0.0,0.0,3,raise,True
0.48,0.4,0,66.66666666666667,0.6666666666666666,3,call,False
0.34,0.16666666666666666,0,39.8,0.2,3,call,True
0.4,0.0,0,33.0,0.0,3,call,False
0.08,0.0,1,33.0,0.0,3,call,True
0.5,0.0,1,33.0,0.0,3,call,False
0.24,0.0,1,33.0,0.0,3,call,False
0.12,0.0,2,33.0,0.0,3,call,True
0.22,0.0,2,33.0,0.0,3,call,False
0.3,0.0,2,33.0,0.0,3,call,False
0.3,0.0,3,33.0,0.0,3,call,True
0.16,0.0,3,33.0,0.0,3,call,False
0.14,0.0,3,33.0,0.0,3,call,False
0.42,0.4,0,66.66666666666667,0.6666666666666666,3,call,True
